text,emoji,role/link,long_name,create_channels
CEG 6110,,CEG 4110,Introduction to Software Engineering,
CEG 6120,,CEG 4120,Managing the Software Development Process,
CEG 6324,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
CEG 6326,,CEG 4326,IC Hardware Security and Trust,
CEG 6420,,CEG 4420,Host Computer Security,
CEG 6424,,CEG 6424,Security Attacks & Defenses,"#ceg6424,0#Student Voice,2#TA Voice"
CEG 6426,,CEG 4426,Legal Aspects of Cyber Security,
CEG 6430,,CEG 4430,Cyber Network Security,
CEG 6750,,CEG 4750,Information Security,
CEG 6900 (Trustworthy Machine Learning),,CEG 4900 (Trustworthy Machine Learning),Trustworthy Machine Learning,
CEG 6900 (Intro to VR and AR),,CEG 4900 (Intro to VR and AR),Intro to VR and AR,
CEG 7020,,CEG 7020,Low Power VLSI System Design,"#ceg7020,0#Student Voice,2#TA Voice"
CEG 7060,,CEG 7060,Advanced Robotics,"#ceg7060,0#Student Voice,2#TA Voice"
CEG 7370,,CEG 7370,Distributed Computing,"#ceg7370,0#Student Voice,2#TA Voice"
CEG 7420,,CEG 7420,Reverse Engineering & Program Analysis,"#ceg7420,0#Student Voice,2#TA Voice"
CEG 7450,,CEG 7450,Advanced Computer Networks,"#ceg7450,0#Student Voice,2#TA Voice"
CEG 7550,,CEG 7550,Computer Vision & Pattern Recognition,"#ceg7550,0#Student Voice,2#TA Voice"
CS 1000,,CS 1000,Technology and Society,"#cs1000,0#Student Voice,2#TA Voice"
CS 1150,,CS 1150,Introduction to Computer Science,"#cs1150,0#Student Voice,2#TA Voice"
CS 1160,,CS 1160,Introduction to Computer Programming,"#cs1160,0#Student Voice,2#TA Voice"
CS 1180,,CS 1180,Computer Science I,"#cs1180,0#Student Voice,2#TA Voice"
CS 1181,,CS 1181,Computer Science II,"#cs1181,0#Student Voice,2#TA Voice"
CS 1900,,CEG 1900,Internship,
CS 2200,,CS 2200,Discrete Structures and Their Algorithms,"#cs2200,0#Student Voice,2#TA Voice"
CS 3100,,CS 3100,Data Structures and Algorithms,"#cs3100,0#Student Voice,2#TA Voice"
CS 3170,,CS 3170,Mobile Application Development,"#cs3170,0#Student Voice,2#TA Voice"
CS 3180,,CS 3180,Comparative Languages,"#cs3180,0#Student Voice,2#TA Voice"
CS 3200,,CS 3200,Theoretical Foundations of Computing,"#cs3200,0#Student Voice,2#TA Voice"
CS 3700,,CS 3700,Introduction to Databases & Modeling,"#cs3700,0#Student Voice,2#TA Voice"
CS 3800,,CS 3800,Web Development II,"#cs3800,0#Student Voice,2#TA Voice"
CS 3840,,CS 3840,Applied Machine Learning,"#cs3840,0#Student Voice,2#TA Voice"
CS 4200,,CS 4200,Introduction to Quantum Computing,"#cs4200,0#Student Voice,2#TA Voice"
CS 4240,,CS 4240,Coding Theory,"#cs4240,0#Student Voice,2#TA Voice"
CS 4710,,CS 4710,Introduction to Data Mining,"#cs4710,0#Student Voice,2#TA Voice"
CS 4900,,CS 4900,HPC & Parallel Programming,"#cs4900,0#Student Voice,2#TA Voice"
CS 5100,,CS 3100,Data Structures and Algorithms,
CS 5160,,CS 5160,Computer Science Fundamentals,"#cs5160,0#Student Voice,2#TA Voice"
CS 6200,,CS 4200,Introduction to Quantum Computing,
CS 6240,,CS 4240,Coding Theory,
CS 6710,,CS 4710,Introduction to Data Mining,
CS 6900,,CS 4900,HPC & Parallel Programming,
CS 7200,,CS 7200,Algorithm Design and Analysis,"#cs7200,0#Student Voice,2#TA Voice"
CS 7700,,CS 7700,Advanced Database Systems,"#cs7700,0#Student Voice,2#TA Voice"
CS 7800,,CS 7800,Information Retrieval,"#cs7800,0#Student Voice,2#TA Voice"
CS 7820,,CS 7820,Advanced Topics in Semantic Web,"#cs7820,0#Student Voice,2#TA Voice"
CS 7830,,CS 7830,Machine Learning,"#cs7830,0#Student Voice,2#TA Voice"
CS 7900 (Adv Artificial Intelligence),,CS 7900 (Adv Artificial Intelligence),Adv Artificial Intelligence,"#cs-7900-adv-artificial-intelligence,0#Student Voice,2#TA Voice"
CS 7900 (Topics in Mach Learning & AI),,CS 7900 (Topics in Mach Learning & AI),Topics in Mach Learning & AI,"#cs-7900-topics-in-mach-learning-&-ai,0#Student Voice,2#TA Voice"
CS 7900 (Quantum Algorithms),,CS 7900 (Quantum Algorithms),Quantum Algorithms,"#cs-7900-quantum-algorithms,0#Student Voice,2#TA Voice"
EE 2000,,EE 2000,Digital Design with HDL,"#ee2000,0#Student Voice,2#TA Voice"
EE 2010,,EE 2010,Analog Circuit Theory,"#ee2010,0#Student Voice,2#TA Voice"
EE 2011,,EE 2011,Analog Circuit Techniques,"#ee2011,0#Student Voice,2#TA Voice"
EE 3210,,EE 3210,Continuous Linear Systems,"#ee3210,0#Student Voice,2#TA Voice"
EE 3260,,EE 3260,Random Signals and Noise,"#ee3260,0#Student Voice,2#TA Voice"
EE 3310,,EE 3310,Electronic Devices and Circuits,"#ee3310,0#Student Voice,2#TA Voice"
EE 3450,,EE 3450,Introduction to Electromagnetics,"#ee3450,0#Student Voice,2#TA Voice"
EE 3510,,EE 3510,Continuous and Discrete Linear Systems,"#ee3510,0#Student Voice,2#TA Voice"
EE 4000,,EE 4000,Discrete Linear Systems,"#ee4000,0#Student Voice,2#TA Voice"
EE 4120,,EE 4120,Industrial Controls and Automation,"#ee4120,0#Student Voice,2#TA Voice"
EE 4130,,EE 4130,Continuous Control Systems,"#ee4130,0#Student Voice,2#TA Voice"
EE 4210,,EE 4210,Digital Communication,"#ee4210,0#Student Voice,2#TA Voice"
EE 4470,,EE 4470,Antenna Theory and Design,"#ee4470,0#Student Voice,2#TA Voice"
EE 4550,,CEG 4326,IC Hardware Security and Trust,
EE 4620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 4800 (Intro to Electronic Warfare),,EE 4800 (Intro to Electronic Warfare),Intro to Electronic Warfare,"#ee-4800-intro-to-electronic-warfare,0#Student Voice,2#TA Voice"
EE 4800 (Fund of Modern VLSI Devices),,EE 4800 (Fund of Modern VLSI Devices),Fund of Modern VLSI Devices,"#ee-4800-fund-of-modern-vlsi-devices,0#Student Voice,2#TA Voice"
EE 4830,,EE 4830,Internship in Electrical Engineering,"#ee4830,0#Student Voice,2#TA Voice"
EE 4910,,EE 4910,Electrical Engineering Senior Design Project I,"#ee4910,0#Student Voice,2#TA Voice"
EE 4920,,EE 4920,Electrical Engineering Senior Design Project II,"#ee4920,0#Student Voice,2#TA Voice"
EE 4990,,EE 4990,Special Problems in Electrical Engineering,"#ee4990,0#Student Voice,2#TA Voice"
EE 6000,,EE 4000,Discrete Linear Systems,
EE 6120,,EE 4120,Industrial Controls and Automation,
EE 6130,,EE 4130,Continuous Control Systems,
EE 6210,,EE 4210,Digital Communication,
EE 6470,,EE 4470,Antenna Theory and Design,
EE 6550,,CEG 4326,IC Hardware Security and Trust,
EE 6620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 6800 (Intro to Electronic Warfare),,EE 4800 (Intro to Electronic Warfare),Intro to Electronic Warfare,
EE 6800 (Fund of Modern VLSI Devices),,EE 4800 (Fund of Modern VLSI Devices),Fund of Modern VLSI Devices,
EE 7330,,EE 7330,Modern Radar Theory,"#ee7330,0#Student Voice,2#TA Voice"
EE 7350,,EE 7350,Wireless Communication Techniques,"#ee7350,0#Student Voice,2#TA Voice"
EE 7420,,EE 7420,Power Electronics II,"#ee7420,0#Student Voice,2#TA Voice"
EE 7440,,EE 7440,RF Power Amplifiers,"#ee7440,0#Student Voice,2#TA Voice"
EE 7520,,CEG 7020,Low Power VLSI System Design,
EE 7560,,CEG 7060,Advanced Robotics,
EE 7620,,EE 7620,"Detection, Estimation, and Optimal Filter Theory","#ee7620,0#Student Voice,2#TA Voice"
EE 7840,,EE 7840,Computer Vision,"#ee7840,0#Student Voice,2#TA Voice"
